DL comb;DL MIMO;DL BW;DL Unk A;DL Unk B;DL Unk C;UL comb;UL MIMO;UL BW;UL Unk A;UL Unk B;UL Unk C
n48_n66;[4, 4];[100, 25];[2, 2];[2, 2];[1, 0];n48;[2];[100];[2];[2];[1]
n48_n71;[4, 2];[100, 30];[2, 1];[2, 2];[1, 0];n48;[2];[100];[2];[2];[1]
n48_n77;[4, 4];[100, 100];[2, 2];[2, 2];[1, 1];n48;[2];[100];[2];[2];[1]
n48;[4, 2];[100, 80];[2, 2];[2, 2];[1, 0];n48;[2];[100];[2];[2];[1]
n48C;[4, 2];[100, 80];[2, 2];[2, 2];[1, 0];n48;[2];[100];[2];[2];[1]
n66_n77;[2, 4];[30, 100];[1, 2];[2, 2];[0, 1];n77;[1];[100];[2];[2];[1]
n66_n77;[2, 4];[40, 100];[1, 2];[2, 2];[0, 1];n77;[1];[100];[2];[2];[1]
n66_n77;[4, 4];[25, 100];[2, 2];[2, 2];[0, 1];n77;[2];[100];[2];[2];[1]
n66_n77;[2, 4];[30, 100];[1, 2];[2, 2];[0, 1];n66;[1];[20];[1];[2];[0]
n66_n77;[2, 4];[40, 100];[1, 2];[2, 2];[0, 1];n66;[1];[20];[1];[2];[0]
n66_n77;[4, 4];[25, 100];[2, 2];[2, 2];[0, 1];n66;[1];[40];[1];[2];[0]
n66_n66;[2, 4];[40, 25];[1, 2];[2, 2];[0, 0];n66;[1];[40];[1];[2];[0]
n66_n71;[2, 2];[40, 30];[1, 1];[2, 2];[0, 0];n71;[1];[20];[1];[2];[0]
n66_n71;[4, 2];[25, 30];[2, 1];[2, 2];[0, 0];n71;[1];[20];[1];[2];[0]
n66_n66;[2, 4];[40, 25];[1, 2];[2, 2];[0, 0];n66;[1];[20];[1];[2];[0]
n66_n71;[2, 2];[40, 30];[1, 1];[2, 2];[0, 0];n66;[1];[20];[1];[2];[0]
n66_n71;[4, 2];[25, 30];[2, 1];[2, 2];[0, 0];n66;[1];[40];[1];[2];[0]
n66_n78;[4, 4];[25, 100];[2, 2];[2, 2];[0, 1];n78;[2];[100];[2];[2];[1]
n66_n78;[4, 4];[25, 100];[2, 2];[2, 2];[0, 1];n66;[1];[40];[1];[2];[0]
n71_n71;[2, 2];[30, 30];[1, 1];[2, 2];[0, 0];n71;[1];[20];[1];[2];[0]
n71_n77;[2, 4];[30, 100];[1, 2];[2, 2];[0, 1];n77;[1];[100];[2];[2];[1]
n71_n77;[2, 4];[30, 100];[1, 2];[2, 2];[0, 1];n77;[2];[100];[2];[2];[1]
n71_n78;[2, 4];[30, 100];[1, 2];[2, 2];[0, 1];n78;[2];[100];[2];[2];[1]
n71_n77;[2, 4];[30, 100];[1, 2];[2, 2];[0, 1];n71;[1];[20];[1];[2];[0]
n71_n78;[2, 4];[30, 100];[1, 2];[2, 2];[0, 1];n71;[1];[20];[1];[2];[0]
n71;[2, 2];[30, 20];[1, 1];[2, 2];[0, 0];n71;[1];[20];[1];[2];[0]
